 	Identification	Name	Group of collection	Collection		Strain type		Synonyms	Reference équilibre	Date d'isolement	T ° of incubation	Bibliography	Sequence reference	Private Strain	Genotype	strain MOT	Wanted MTA	GMO strain	Restrictions on the dissemination	History of deposit	Isolated from	Properties	Classification	Clinical shape	Phenotype	Comments	Sequence reference	pathogenicity	Lieu	Classe emballage	Atmosphère incubation	Medium 
42	PCC 6712	Chroococcidiopsis	Cyanobactéries	PCC	407			Chlorogloea sp.	CCAP 1411/2 as Chlorogloea sp.	01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205; Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61; Subsection II, in «Bergey's Manual of Systematic Bacteriology», 2001a, 2nd Ed., 1, 514-539.		false		false	false	false		R. Kunisawa as Chlorogloea 1-3G	Water, reservoir	%G+C 40.2 Genome size (Gdal) 3.31 Nutrition: chemoheterotroph Salt tolerance euryhaline N2 fixation anaerobic Pigments: C-PE + Pigments: PEC - CCA III W/D (vegetatives cells) 6.3 W/D (transient stages) 4 Motility - Gas vesicles - Designation: ATCC 27176 (no longer available) 				                     Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.PRJNA158687  &nbsp;  &nbsp;  &nbsp;      			Marin County, California, USA	B	Aerobic	1546
43	PCC 6713	Cyanobium	Cyanobactéries	PCC	407				CALU 748	01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa as Synechococcus 5-2A	Fresh water	%G+C: 69.4 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 0.8 - 1 W/D (transient stages): n/a Phages (sens): SM-1 Phages (res): AS-1M Motility: - Gaz vesicles: - Designation: ATCC 27177 as Synechococcus sp. 				                      Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			California, USA	B	Aerobic	1539
44	PCC 6714	Synechocystis	Cyanobactéries	PCC	407			 	UTEX 2470;UTCC 98;SAG 92.79;NIBB 1069;NIBB 1083	01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		R. Kunisawa as Aphanocapsa 5-3A	Fresh water	%G+C: 47.9 Genome size (Gdal): 2.34 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2.3 - 2.5 W/D (transient stages): n/a Motility: - Gaz vesicles: - Designation: ATCC 27178 							California, USA	B	Aerobic	1539
45	PCC 6715	Synechococcus	Cyanobactéries	PCC	407			 		01-01-1961	37°	Science, 1961, 134, 616-617; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook (Institut Pasteur, Paris), 1992, pp. 1-103; Bergey's Manual of Systematic Bacteriology, 2nd Ed., 2001, pp. 493-514.		false		false	false	false		R. Kunisawa <- (I) D. S. Berns <- (I) D. L. Dyer as Synechococcus lividus	Water, hot spring	%G+C: 53.6 Nutrition: obligate autotroph Salt tolerance: stenohaline Thermophilie: + Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.2 - 1.4 W/D (transient stages): n/a Phages (res): AS-1M and SM-1 Motility: - Gaz vesicles: - Designation: ATCC 27149 (no longer available) 							Yellowstone National Park, USA	B	Aerobic	1539
46	PCC 6716	Synechococcus	Cyanobactéries	PCC	407			Synechococcus lividus		01-01-1962	37°	Schweiz. Zeit. Hydrobiol., 1970, 32, 538-551; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. W. Castenholz as Synechococcus lividus OH-53-s	Water, Hunter's Hot Spring (53 °C, pH c. 8.5)	%G+C: 53.6 Genome size (Gdal): 1.72 Nutrition: obligate autotroph Salt tolerance: stenohaline Thermophilie: + Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.2 - 1.4 W/D (transient stages): n/a Phages (res): AS-1M and SM-1 Motility: - Gaz vesicles: - Designation: ATCC 27179 							Oregon, USA	B	Aerobic	1539
47	PCC 6717	Synechococcus	Cyanobactéries	PCC	407			Synechococcus lividus		01-01-1964	37°	Schweiz. Zeit. Hydrobiol., 1970, 32, 538-551; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. W. Castenholz as Synechococcus lividus Y-52-s	Waterh, hot Fairy Springs (Lower Geyser B., 52 °C)	%G+C: 52 Nutrition: obligate autotroph Salt tolerance: stenohaline Thermophilie: + Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.2 - 1.4 W/D (transient stages): n/a Phages (res): AS-1M and SM-1 Motility: permanent Gaz vesicles: - Designation: ATCC 27180 (no longer available) 							Yellowstone National Park, USA	B	Aerobic	1539
48	PCC 6718	Chlorogloeopsis	Cyanobactéries	PCC	407			Chlorogloea fritschii	CCAP 1411/1b as Chlorogloea fritschii		22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Rippka <- (I) Botany Department, California Univ., USA, previous history unknown		%G+C: 42.1 Genome size (Gdal): 5.24 Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (transient stages): nd W/D (vegetatives cells): nd Motility: transient Thermophilie: + Gaz vesicles: - Designation: ATCC 27181 								B	Aerobic	1547
49	PCC 6719	Nostoc	Cyanobactéries	PCC	407			Nostoc muscorum	CCAP 1453/32 as Nostoc muscorum		22°	Science, 1969, 163, 1339-1341; J. Cell Biol., 1970, 48, 212-215; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Rippka <- (I) D. Branton as Nostoc muscorum UC172	Soil, water culture	%G+C: 43.9 Genome size (Gdal): 4.0 Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): nd Phages (res): N-1 Motility: - Gas vesicles: transient, dispersed Designation: ATCC 29105 							Microgarden collection, California Univ., Berkeley, U.S.A.	B	Aerobic	1547
50	PCC 6720	Nostoc	Cyanobactéries	PCC	407			Anabaenopsis circularis	CCAP 1402/1 as Anabaenopsis circularis	01-01-1950	22°	J. Gen. Appl. Microbiol., 1959, 5, 21-29; J. Gen. Microbiol., 1979, 111, 1-61; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		R. A. Lewin <- (P) A. Watanabe as Anabaenopsis circularis	Soil, sample	%G+C: 41.8 Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (transient stages): nd W/D (vegetatives cells): nd Motility: transient Gas vesicles: transient, polar Designation: ATCC 27895 							Sumatra, Indonesia	B	Aerobic	1547
51	PCC 6802	Pseudanabaena	Cyanobactéries	PCC	407			 		01-01-1968	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		A. Neilson as Synechococcus sp. B5	Water, pond	%G+C: 45.9 Genome size (Gdal): 3.43 Nutrition: obligate autotroph N2 fixation: anaerobic Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): 2 - 2.5 W/D (transient stages): n/a Motility: - Gas vesicles: permanent, polar Designation: ATCC 27183 (no longer available) 				GCA_000332175.1			California Univ., Berkeley, USA	B	Aerobic	1539
52	PCC 6803	Synechocystis	Cyanobactéries	PCC	407			 	IPPAS B-288;PPMSU 63;NIBB 1125;IAM M-208;IAM M-203	01-01-1968	22°C°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		R. Kunisawa as Aphanocapsa N-1	Fresh water	%G+C: 47.5 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2.3 - 2.5 W/D (transient stages): n/a Motility: permanent Gas vesicles: - Genome size (Gdal): 2.11 Designation: ATCC 27184 				                     Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.GCA_000009725.1  &nbsp;  &nbsp;  &nbsp;      			California, USA	B	Aerobic	1539
53	PCC 6804	Synechocystis	Cyanobactéries	PCC	407					01-01-1968	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa as Aphanocapsa S-1	Fresh water	%G+C: 36.9 Genome size (Gdal): 2.41 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 6 W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 27185 				                      Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			California, USA	B	Aerobic	1539
54	PCC 6805	Synechocystis	Cyanobactéries	PCC	407			 		01-01-1968	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa as Aphanocapsa S-2	Fresh water	%G+C: 48 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2.3 - 2.5 W/D (transient stages): n/a Motility: - Gas vesicles: - Designation: ATCC 27186 				                     Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			California, USA	B	Aerobic	1539
55	PCC 6806	Synechocystis	Cyanobactéries	PCC	407					01-01-1968	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa as Aphanocapsa W-1	Fresh water	%G+C: 46.6 Genome size (Gdal): 2.31 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2.3 - 2.5 W/D (transient stages): n/a Motility: - Gas vesicles: - Designation: ATCC 27187 							California, USA	B	Aerobic	1539
56	PCC 6808	Synechocystis	Cyanobactéries	PCC	407					01-01-1968	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa as Aphanocapsa W-3	Source unknown	%G+C: 36 Genome size (Gdal): 2.12 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: + Pigments PEC: - CCA: II W/D (vegetatives cells): 6 W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 27189 (no longer available) 							California, USA	B	Aerobic	1539
57	PCC 6901	Pseudanabaena	Cyanobactéries	PCC	407					01-01-1969	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Protistologica, 1984, 20, 393-413.		false		false	false	false		A. Neilson as Synechococcus sp. µ-1	Water, shallow stream	%G+C: 45.9 Genome size (Gdal): 2.14 Nutrition: obligate autotroph N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.3 - 1.8 W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar Designation: ATCC 27263 (no longer available) 							Tres Pinos, California, USA	B	Aerobic	1539
58	PCC 6902	Synechocystis	Cyanobactéries	PCC	407					01-01-1969	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Aphanocapsa S-1	Water, brackish water	%G+C: 42.1 Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 29108 							Oregon, USA	B	Aerobic	1539
59	PCC 6903	Pseudanabaena	Cyanobactéries	PCC	407			 		01-01-1969	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Synechococcus sp. d-5	Water, brackish pool	%G+C: 44.9 Nutrition: obligate autotroph N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2.5 - 3 W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar Designation: ATCC 27190 (no longer available) 							Coos Bay, Oregon, USA	B	Aerobic	1539
60	PCC 6904	Cyanobium	Cyanobactéries	PCC	407			 		01-01-1969	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Synechococcus 5.1	Water, shallow stream	%G+C: 67.8 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 0.8 - 1 W/D (transient stages): n/a Phages (sens): SM-1 Phages (res): AS-1M Motility: - Gas vesicles: - Designation: ATCC 29138 as Synechococcus sp. 				                      Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			Sierra Valley, California, USA	B	Aerobic	1539
61	PCC 6905	Synechocystis	Cyanobactéries	PCC	407					01-01-1969	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Aphanocapsa P-5	Low salinity brine pond	%G+C: 47.1 Genome size (Gdal): 2.08 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2.3 - 2.5 W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 29109 							Newark, California, USA	B	Aerobic	1539
62	PCC 6906	Synechocystis	Cyanobactéries	PCC	407			Eucapsis sp.		01-01-1969	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury; <- (I) J. West as Eucapsis sp.	Water, hypersaline lake	%G+C: 46.9 Genome size (Gdal): 2.35 Nutrition: photoheterotroph Salt tolerance: marine N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: - Gas vesicles: - Designation: ATCC 27266 							Salton Sea, California, USA	B	Aerobic	1535
63	PCC 6907	Cyanobium	Cyanobactéries	PCC	407			Synechococcus elongatus	UTEX LB 563 as Synechococcus elongatus;CCAP 1479/1A as Synechococcus elongatus;UTCC LB 97;CCMEE 335	01-01-1940	22°	Arch. Mikrobiol., 1951, 16, 1-17; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Ann. Microbiol. (Institut Pasteur), 1983, 134B, 21-36.		false		false	false	false		R. Kunisawa <- (I) UTEX as Synechococcus elongatus UTEX LB 563 <- E. G. Pringsheim	Water, pond	%G+C: 71.4 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 0.8 - 1 W/D (transient stages): n/a Phages (sens): SM-1 Phages (res): AS-1M Motility: - Gas vesicles: - Designation: ATCC 27148 as Synechococcus sp. 							Cambridge, UK	B	Aerobic	1539
64	PCC 6908	Synechococcus	Cyanobactéries	PCC	407			Synechococcus cedrorum	CCMEE 333;CALU 750;UTEX LB 1191 as Synechococcus cedorum;UTCC LB 79		22°C°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa <- (I) UTEX <- (I) E. B. Gassner <- (I) W. Arnold	Source unknown	%G+C: 56 Genome size (Gdal): 1.66 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1 - 1.2 W/D (transient stages): n/a Phages (sens): AS-1M Phages (res): SM-1 Motility: - Gas vesicles: - Designation: ATCC 27146 								B	Aerobic	1539
65	PCC 6909	Gloeothece	Cyanobactéries	PCC	407			Gloeocapsa sp., Synechocystis salina	UTEX L 795 as Gloeocapsa sp.;CCAP 1430/3 (formerly listed as Synechocystis sp.);CCALA 192 as Synechocystis salina;CCMEE 413	01-01-1926	22°C°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; J. Phycol., 1987, 23 (Suppl.), 1-47.		false		false	false	false		R. Rippka <- (I) R. C. Starr as Gloeocapsa sp. UTEX 795 <- W. R. Taylor <- W. Markle	Source unknown	%G+C: 41.5 Genome size (Gdal): 1.9 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): 5 - 6 W/D (transient stages): n/a Motility: - Gas vesicles: - Designation: ATCC 27152 				                      Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      				B	Aerobic	1547
66	PCC 6909/1	Gloeothece	Cyanobactéries	PCC	407						22°			false		false	false	false		T. Coursin & R. Rippka		Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): 5 - 6 W/D (transient stages): n/a Motility: - Gas vesicles: - 								B	Aerobic	1547
67	PCC 6910	Cyanothece	Cyanobactéries	PCC	407			Gloeocapsa alpicola, Synechococcus sp.		01-01-1949	22°	Symposium on the Culturing of Algae (Dayton, Ohio, USA), 1950, pp. 27-44; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa <- (I) G. C. Gerloff as Gloeocapsa alpicola 1051	Water, lake	%G+C: 47.5 Genome size (Gdal): 2.52 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): n/a Phages (res): AS-1M Gas vesicles: - Designation: ATCC 27191 							Wisconsin, USA	B	Aerobic	1539
68	PCC 6911	Cyanobium	Cyanobactéries	PCC	407			Microcystis aeruginosa		01-01-1954	22°	Can. J. Microbiol., 1958, 4, 225-236; Can. J. Microbiol., 1960, 6, 645-660; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa <- (I) R. Haselkorn <- R. Safferman <- P. R. Gorham as Microcystis aeruginosa NRC-1	Water, lake	%G+C: 66.3 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 0.8 - 1 W/D (transient stages): n/a Phages (sens): SM-1 Phages (res): AS-1M Motility: - Gas vesicles: - Designation: ATCC 27192 as Synechococcus sp. 							Ontario, Canada	B	Aerobic	1539
69	PCC 6912	Chlorogloeopsis	Cyanobactéries	PCC	407			Chlorogloea fritschii	CCALA 039;ACMM 421;DCC D0050;PPMSU 7;SAG 1411-1a as Chlorogloeopsis fritschii;CCAP 1411/1A as Chlorogloea fritschii		22°C°	Ann. Bot., 1950, 14, 457-464; Phykos, 1966, 5, 106-114; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		D. Hoare <- (P) CCAP <- (P) A. K. Mitra	Soil, sample	%G+C: 42.9 Genome size (Gdal): 5.39 Nutrition: chemoheterotroph Thermophilie: + N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: - Designation: ATCC 27193 				GCA_000317285.1			Allahabad, India	B	Aerobic	1547
70	PCC 7001	Cyanobium	Cyanobactéries	PCC	407			Anacystis marina	NIBB 1098 as Anacystis marina	01-01-1961	22°	Bot. Mar., 1962, 4, 129-139; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Bergey's Manual of Systematic Bacteriology, 2nd Ed., 2001, pp. 493-514.		false		false	false	false		C. Van Baalen as Anacystis marina 6	Soil, intertidal mud	%G+C: 69.5 Genome size (Gdal): 2.01 Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 0.8 W/D (transient stages): n/a Phages (res): AS-1M and SM-1 Motility: - Gas vesicles: - Designation: ATCC 27194 as Synechococcus sp. 				GCA_000155635.1			City Island, New York, U.S.A.	B	Aerobic	1540
71	PCC 7002	Synechococcus	Cyanobactéries	PCC	407			Agmenellum quadruplicatum	ACMM 326;UTEX 2268 (no longer available);NIBB 1035 (B);NIBB 1111 (B) as Agmenellum quadruplicatum;CCAP 1400/1 (B) as Agmenellum quadruplicatum	01-01-1961	22°	Bot. Mar., 1962, 4, 129-139; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		C. Van Baalen as Agmenellum quadruplicatum PR-6	Fish pens, mud	%G+C: 49.1 Genome size (Gdal): 1.68 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.2 - 1.5 W/D (transient stages): n/a Motility: - Gas vesicles: - Designation: ATCC 27264 				GCA_000019485.1			Magueyes Island, Puerto Rico	B	Aerobic	1550
